Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
E-3.1	18027243.0	3954493.0	0.0	182086578.0	16054896.0	293664667.0	10972854.0	54.7032841252	63.9	1.5	91.8	0.0	0.0	directional	9020009.0	9007234.0	1704052372.0	32954590.0	103076239.0	1082798050.0	26371942.0
E-4.1	9338193.0	2027282.0	2.0	89692460.0	7992633.0	142740861.0	6284950.0	52.9063351166	63.8	1.4	91.5	0.0	0.0	directional	4671621.0	4666570.0	851631831.0	17650425.0	50933118.0	547092251.0	13180508.0
E-5.1	8850591.0	1939434.0	1.0	84834315.0	7495437.0	135017496.0	5979333.0	52.7783532321	63.8	1.4	91.6	0.0	0.0	directional	4427982.0	4422608.0	804961962.0	16769358.0	48099503.0	517069484.0	12445727.0
E-6.1	3710078.0	816448.0	0.0	37113177.0	3330517.0	60023355.0	2404084.0	53.531767045	63.7	1.5	91.7	0.0	0.0	directional	1855446.0	1854632.0	347735140.0	6930610.0	21138468.0	220662958.0	5466665.0
E-7.1	1761738.0	556842.0	0.0	10713578.0	984031.0	19046625.0	957352.0	53.7782225028	61.5	1.6	90.2	0.0	0.0	directional	880126.0	881612.0	101037721.0	3275932.0	6700061.0	61533401.0	2060025.0
E-8.1	2548561.0	788210.0	0.0	15999204.0	1451431.0	28968682.0	1386735.0	53.9548589543	61.2	1.6	90.1	0.0	0.0	directional	1275098.0	1273463.0	150933261.0	4723506.0	10162077.0	91180604.0	3171263.0
E-9.1	2947599.0	910387.0	0.0	18590769.0	1681505.0	33574962.0	1608736.0	53.9189481375	61.1	1.6	90.1	0.0	0.0	directional	1474356.0	1473243.0	175366746.0	5466722.0	11833035.0	105979614.0	3706861.0
F-1.1	8703596.0	1861283.0	0.0	81743926.0	7545804.0	128146861.0	5483057.0	54.234986979	64.2	1.4	92.1	0.0	0.0	directional	4356760.0	4346836.0	794362273.0	16047936.0	45650483.0	520311489.0	10963710.0
F-10.1	20597552.0	6433012.0	0.0	124348201.0	12786859.0	218279272.0	10574997.0	54.7726225916	62.2	1.7	91.0	0.0	0.0	directional	10303776.0	10293776.0	1177471992.0	37605561.0	75506461.0	725035954.0	21515245.0
F-11.1	21210514.0	6601748.0	0.0	128769913.0	13148093.0	226847839.0	10869786.0	54.8329654107	62.2	1.7	91.1	0.0	0.0	directional	10604944.0	10605570.0	1218128959.0	38682048.0	78116574.0	749090370.0	22156170.0
F-12.1	20916408.0	6490424.0	0.0	127532681.0	13028313.0	225208206.0	10296375.0	55.4764691502	62.2	1.7	91.1	0.0	0.0	directional	10461700.0	10454708.0	1207654082.0	37703207.0	77392501.0	742610596.0	21881785.0
F-13.1	16658534.0	5156440.0	0.0	103540307.0	9613661.0	186151286.0	7919695.0	56.0239429603	62.2	1.6	91.4	0.0	0.0	directional	8332303.0	8326231.0	977246101.0	29734669.0	62925255.0	597491817.0	17523775.0
F-14.1	16268112.0	5081561.0	0.0	99510681.0	9107642.0	177924793.0	8204264.0	55.0454986759	62.3	1.6	91.3	0.0	0.0	directional	8140332.0	8127780.0	935524535.0	29553937.0	60299592.0	571745748.0	16936079.0
F-15.1	15927759.0	4948083.0	0.0	98059989.0	9104181.0	174021690.0	7894834.0	55.3610871013	62.2	1.6	91.2	0.0	0.0	directional	7967041.0	7960718.0	924400282.0	28770676.0	59550888.0	566781565.0	16881969.0
